,,,,,,
,rating:2.5,3,2,3,,3
,,,,,,
,rating:4.375,0,5,5,,3
,,,,,,
,rating:3.75,4,4,2,,2
,,,,,,
,rating:5,5,2.5,3.5,,1
,,,,,,
,rating:3.125,3,2,2,,1
,,,,,,
,rating:4.375,0,3,4,,2
,,,,,,
,rating:4.375,2,2.5,2,,0
,,,,,,
,rating:3.75,0,1,0,,0
,,,,,,
,rating:4.375,5,5,5,,3
,,,,,,
,rating:3.75,1,1,3,,1
,,,,,,
,rating:3.75,2.5,4,3,,2
,,,,,,
,rating:4.375,5,5,3,,2
,,,,,,
,rating:4.375,4,4,5,,3
,,,,,,
,rating:4.375,4,5,5,,3
,,,,,,
,rating:3.125,4,2.5,3,,3
,,,,,,
,rating:4.375,1,2,1.5,,0
,,,,,,
,rating:1.875,2,1.5,3,,2
,,,,,,
,rating:4.375,0,5,4,,3
,,,,,,
,rating:5,3,3.5,3.5,,0
,,,,,,
,rating:5,4,2,3,,1
