prediction,actual
3.471375,5.0
3.716875,3.75
3.894125,3.125
3.85425,3.75
3.88825,4.375
3.816875,4.375
3.829625,3.75
3.688375,3.75
3.92375,3.75
3.86375,4.375
3.9065,5.0
3.721,5.0
3.8925,3.75
3.4805,3.75
3.907875,4.375
3.48575,5.0
3.89125,1.25
3.827125,3.125
3.753625,3.125
3.604625,3.125
3.910125,3.75
3.474875,3.125
3.832375,3.75
3.765875,0.0
3.878875,4.375
3.828,4.375
3.911625,4.375
3.481875,0.0
3.902,0.0
3.625625,5.0
3.6385,4.375
3.89175,4.375
3.451625,3.125
3.470125,0.0
3.762375,3.75
3.731,4.375
3.852,3.75
3.854375,4.375
3.8935,3.75
3.91325,0.0
3.472625,3.75
3.4705,2.5
3.81425,4.375
3.647625,4.375
3.869125,3.75
3.867125,2.5
3.9,4.375
3.9155,0.0
3.841375,3.75
3.9085,4.375
3.89775,3.75
3.850875,3.75
3.914625,4.375
3.730125,3.75
3.889875,3.75
3.805625,4.375
3.894375,4.375
3.912,4.375
3.507125,0.0
3.6835,3.75
3.893,5.0
3.892125,0.0
3.88975,3.75
3.900625,3.75
3.9015,5.0
3.473125,4.375
3.90825,4.375
3.47275,5.0
3.914,0.0
3.734625,3.75
3.879625,3.75
3.6345,3.75
3.909625,2.5
3.86775,3.75
3.723125,5.0
3.7915,3.125
3.62225,4.375
3.736625,3.75
3.539625,4.375
3.472125,3.75
3.603,4.375
3.876125,3.75
3.48125,5.0
3.88225,4.375
3.483125,5.0
3.794875,4.375
3.721,3.75
3.48925,5.0
3.448875,2.5
3.471375,3.75
3.907625,3.75
3.728875,3.75
3.452,3.75
3.659375,3.75
3.6245,3.75
3.713,3.75
3.65925,3.75
3.74375,4.375
3.904875,4.375
3.892375,3.75
3.4815,4.375
3.656,3.75
3.528875,5.0
3.480625,0.0
3.88775,3.125
3.906,4.375
3.47125,0.0
3.46925,0.0
3.534,4.375
3.8955,3.75
3.905375,3.125
3.74475,4.375
3.543875,4.375
3.475625,3.125
3.856125,3.75
3.823375,5.0
3.74675,4.375
3.900375,4.375
3.478875,4.375
3.748625,4.375
3.89,3.75
3.846375,4.375
3.815125,0.0
3.89075,4.375
3.827875,3.125
3.89025,3.75
3.906,4.375
3.87675,3.75
3.911,4.375
3.7365,3.75
3.905,5.0
3.72875,4.375
3.733125,4.375
3.48325,0.0
3.4575,0.0
3.87175,3.75
3.846375,4.375
3.604,4.375
3.749,3.125
3.638625,3.75
3.584,3.75
3.4805,3.75
3.470875,5.0
3.754375,3.75
3.749625,4.375
3.4705,4.375
3.862375,4.375
3.61075,5.0
3.764125,0.0
3.89325,4.375
3.807875,4.375
3.46475,0.0
3.889625,3.75
3.654375,4.375
3.8495,3.75
3.88325,4.375
3.868125,4.375
3.907625,2.5
3.905625,3.125
3.708625,3.75
3.90175,3.75
3.90175,3.75
3.734125,3.75
3.808875,5.0
3.905625,3.75
3.475125,4.375
3.5085,3.75
3.899125,3.75
3.889875,5.0
3.79225,3.75
3.891125,4.375
3.744,4.375
3.8595,3.75
3.638,4.375
3.893125,4.375
3.68,4.375
3.89175,4.375
3.76,4.375
3.838625,3.75
3.85275,3.75
3.912625,4.375
3.88525,0.0
3.48175,3.75
3.47025,0.0
3.520125,5.0
3.86875,5.0
3.618125,3.75
3.85575,2.5
3.890875,5.0
3.473,0.0
3.832,4.375
3.902,5.0
3.622875,3.75
3.889125,5.0
3.901625,3.75
3.912375,4.375
3.9045,3.125
3.90975,3.75
3.73275,4.375
3.771625,4.375
3.86675,5.0
3.817,3.75
3.47525,3.75
3.91525,4.375
3.481625,4.375
3.9,3.75
3.65925,4.375
3.897625,4.375
3.882,4.375
3.88925,5.0
3.5545,5.0
3.6245,4.375
3.857,5.0
3.686125,4.375
3.867,5.0
3.808875,2.5
3.62875,3.75
3.8335,4.375
3.712375,0.0
3.4815,4.375
3.88125,3.125
3.913,4.375
3.74975,4.375
3.821625,3.75
3.485375,4.375
3.57225,0.0
3.89025,4.375
3.84275,4.375
3.482125,3.75
3.79325,3.75
3.566125,4.375
3.713375,5.0
3.826375,4.375
3.45375,3.75
3.470125,5.0
3.47825,4.375
3.88975,5.0
3.8365,4.375
3.910625,5.0
3.8025,4.375
3.85725,0.0
3.868375,3.75
3.8795,0.0
3.69125,3.75
3.905875,4.375
3.728,5.0
3.85775,1.875
3.830375,4.375
3.482875,5.0
3.734125,4.375
3.5,3.75
3.818375,4.375
3.900125,4.375
3.619375,5.0
3.734125,3.125
3.855375,3.125
3.887625,3.75
3.80375,4.375
3.91525,4.375
3.534875,0.0
3.90475,4.375
3.47975,3.75
3.888125,3.125
3.623625,2.5
3.922,3.75
3.471,0.0
3.755,3.125
3.454625,4.375
3.84375,4.375
3.6965,3.75
3.90175,4.375
3.889375,3.75
3.89175,5.0
3.893875,5.0
3.728,3.75
3.84825,3.125
3.906,5.0
3.85,4.375
3.490125,4.375
3.82975,3.75
3.681125,0.0
3.913875,5.0
3.4705,5.0
3.481125,2.5
3.913,3.75
3.475625,4.375
3.77125,3.75
3.60675,4.375
3.891375,4.375
3.678125,2.5
3.47275,3.75
3.628125,5.0
3.684125,3.75
3.8465,5.0
3.827375,4.375
3.855,4.375
3.6655,4.375
3.909,0.0
3.859,4.375
3.77725,3.75
3.469625,3.75
3.5465,0.0
3.91375,3.75
3.72025,5.0
3.891,0.0
3.747625,4.375
3.74825,4.375
3.776,4.375
3.892375,3.75
3.761125,4.375
3.89925,4.375
3.46,0.0
3.480875,4.375
3.870125,4.375
3.47325,4.375
3.614125,5.0
3.6395,3.75
3.559125,3.75
3.81475,4.375
3.680375,4.375
3.754875,4.375
3.47275,1.875
3.9175,5.0
3.481875,4.375
3.481875,5.0
3.472125,3.125
3.818375,3.75
3.47275,4.375
3.480875,4.375
3.912625,4.375
3.45675,1.25
3.739125,3.75
3.777375,4.375
3.615375,0.0
3.663375,4.375
3.892,4.375
3.898375,4.375
3.898,4.375
3.78,3.75
3.748625,4.375
3.4815,5.0
3.813125,5.0
3.763375,0.0
3.4805,4.375
3.87475,3.75
3.679,0.0
3.8505,4.375
3.895,3.75
3.849625,4.375
3.706625,3.75
3.47075,5.0
3.807,4.375
3.827,3.75
3.888,0.0
3.478875,4.375
3.756875,5.0
3.880375,3.75
3.5985,4.375
3.4805,3.75
3.87025,5.0
3.834625,5.0
3.46225,4.375
3.68125,4.375
3.47075,0.0
3.47275,3.75
3.69775,4.375
3.68825,4.375
3.897625,3.75
3.84775,4.375
3.81725,4.375
3.907875,3.125
3.6665,1.25
3.829375,4.375
3.797875,4.375
3.877625,3.75
3.6265,4.375
3.889,4.375
3.51375,4.375
3.659,5.0
3.54225,3.125
3.619875,4.375
3.77725,4.375
3.48325,4.375
3.724,4.375
3.68625,3.75
3.6095,5.0
3.721625,4.375
3.5245,5.0
3.82075,3.75
3.779375,4.375
3.4785,4.375
3.481125,3.75
3.902625,4.375
3.8915,5.0
3.68625,3.75
3.891375,4.375
3.843125,3.75
3.78125,4.375
3.903,4.375
3.897375,4.375
3.913625,0.0
3.897625,3.75
3.871125,0.0
3.83525,3.75
3.478125,3.75
3.803,3.75
3.884875,4.375
3.907125,3.75
3.910125,3.75
3.472125,0.0
3.6585,5.0
3.836375,5.0
3.72625,3.75
3.9015,5.0
3.483375,3.75
3.914375,4.375
3.925125,4.375
3.903125,5.0
3.471625,0.0
3.486125,5.0
3.48325,3.75
3.802375,3.125
3.762875,1.875
3.762125,3.75
3.92,3.75
3.817375,3.75
3.828375,3.75
3.8655,3.75
3.6335,5.0
3.4735,5.0
3.715125,3.75
3.849,5.0
3.66525,3.75
3.809,4.375
3.7835,4.375
3.86775,4.375
3.923625,4.375
3.471,3.75
3.8295,3.75
3.838375,4.375
3.471125,0.0
3.885125,5.0
3.70525,3.75
3.474625,0.0
3.849875,3.75
3.889375,0.0
3.6885,5.0
3.473625,0.0
3.4795,4.375
3.481875,3.75
3.72925,4.375
3.773625,4.375
3.89725,4.375
3.47275,0.0
3.8915,4.375
3.891625,4.375
3.4855,3.75
3.88125,5.0
3.711875,3.75
3.83775,5.0
3.77925,4.375
3.91275,4.375
3.870625,4.375
3.823875,4.375
3.895625,3.125
3.60275,4.375
3.8915,4.375
3.89075,4.375
3.894875,3.125
3.89275,3.75
3.90425,5.0
3.47175,0.0
3.890875,3.125
3.8715,3.125
3.85475,5.0
3.77,0.0
3.859875,0.0
3.4865,4.375
3.897875,3.125
3.905625,3.75
3.856375,5.0
3.771875,4.375
3.5425,5.0
3.833,4.375
3.8985,4.375
3.628,4.375
3.904625,4.375
3.789125,4.375
3.90775,4.375
3.894875,4.375
3.8855,4.375
3.676625,3.75
3.79725,5.0
3.899,4.375
3.806,4.375
3.45,4.375
3.741125,4.375
3.91425,4.375
3.75725,3.75
3.72175,0.0
3.929375,4.375
3.74025,5.0
3.682125,4.375
3.691625,3.125
3.842375,5.0
3.818,3.75
3.790375,5.0
3.470375,4.375
3.870625,3.75
3.872,3.125
3.4745,4.375
3.663875,3.75
3.6745,4.375
3.4725,3.75
3.773375,4.375
3.88075,5.0
3.8705,3.75
3.896375,3.75
3.8935,2.5
3.915875,0.0
3.625625,5.0
3.911,4.375
3.779625,3.75
3.86825,3.75
3.89175,3.75
3.482,4.375
3.84875,3.75
3.698375,3.75
3.898375,4.375
3.829125,4.375
3.7765,2.5
3.8545,3.75
3.909,0.0
3.879125,3.125
3.47125,1.25
3.828125,5.0
3.863,3.125
3.847,3.75
3.787,4.375
3.7125,4.375
3.754125,3.125
3.662625,3.125
3.904125,4.375
3.6685,3.75
3.7605,3.75
3.89375,0.0
3.8805,4.375
3.884,3.75
3.471125,0.0
3.469875,0.0
3.79225,0.0
3.45575,2.5
3.786125,4.375
3.4605,3.75
3.768625,0.0
3.898875,3.125
3.651125,4.375
3.899875,1.25
3.860125,4.375
3.863625,4.375
3.857125,3.75
3.46775,2.5
3.48175,4.375
3.90175,0.0
3.900375,3.75
3.826625,4.375
3.7745,3.75
3.709875,3.75
3.91525,3.125
3.917625,4.375
3.59825,4.375
3.469375,2.5
3.896125,3.75
3.54,3.75
3.898875,3.75
3.749625,4.375
3.743875,3.125
3.92025,3.75
3.615375,3.75
3.93775,3.75
3.614125,3.75
3.765375,2.5
3.862625,4.375
3.7575,4.375
3.63175,4.375
3.8235,0.0
3.637625,3.75
3.477,0.0
3.887,3.75
3.47125,5.0
3.874625,3.125
3.913125,4.375
